time,bear_window_id,hours_from_bear_start,close,high,open,range_pos,hh_8,h1_rsi,h1_ema_20,bear_prob,exhaust_prob,daily_model_rsi,daily_model_adx,proto_has_rsi70_context,proto_has_stall_or_reject,early_short_proto_v1
2021-02-18 20:00:00+00:00,4.0,92.0,13677.0,13709.5,13682.75,0.658203125,13688.0,51.36465280491638,13655.168301994356,0.4079262027487332,0.0050210772475776,56.25824680257536,15.164540029039143,0,0,1
2022-04-04 16:00:00+00:00,7.0,16.0,15291.0,15324.0,15302.0,0.937123745819398,15314.5,69.89576155210966,15138.221573926108,0.4666109923926876,0.0557755906235289,62.46339297890856,19.3700209693612,0,0,1
2022-04-04 20:00:00+00:00,7.0,20.0,15352.25,15367.0,15356.0,0.9787671232876712,15360.0,73.59095035250994,15204.05369540276,0.4666109923926876,0.0557755906235289,62.46339297890856,19.3700209693612,0,0,1
2022-04-07 19:00:00+00:00,7.0,91.0,14732.75,14827.0,14760.0,0.7637931034482759,14801.25,50.41892762559417,14706.55984672382,0.6171012931295861,0.443276247155396,49.93780707880706,17.39609369807947,0,0,1
2024-03-28 14:00:00+00:00,9.0,110.0,18751.0,18783.5,18760.0,0.7839285714285714,18781.25,53.3719836920825,18738.08116174125,0.359225695898742,0.014627209899923,57.7346154265792,19.370836459882305,0,0,1
2024-07-12 15:00:00+00:00,10.0,63.0,20812.75,20888.0,20855.25,0.7969581749049429,20879.5,57.730395518751685,20726.67303814285,0.3289732293127288,0.0138749014630614,61.27082853020463,39.07050495706837,0,0,1
2024-07-15 15:00:00+00:00,10.0,135.0,20920.25,21015.0,20946.75,0.9119233073696824,20957.0,61.37860952814058,20832.60429255618,0.3385373400147463,0.0112561657720753,61.19617639198446,38.33742570043124,0,0,1
2025-02-19 18:00:00+00:00,11.0,66.0,22826.75,22858.5,22839.75,0.659942363112392,22851.0,50.20755696476454,22823.844723019687,0.4035976096342429,0.0205460389752622,59.39294033505003,12.187769858585414,0,0,1
