atr_col,fixed_rsi_gate,atr_max,count,avg_favorable,median_favorable,p60_favorable,p70_favorable,p80_favorable,p90_favorable,avg_adverse,median_adverse,p60_adverse,p70_adverse,p80_adverse,p90_adverse,avg_final_move,median_final_move,hit_100,hit_150,hit_200,hit_250,hit_300
d_atr7,70,150,0,,,,,,,,,,,,,,,,,,,
d_atr7,70,175,0,,,,,,,,,,,,,,,,,,,
d_atr7,70,200,0,,,,,,,,,,,,,,,,,,,
d_atr7,70,225,0,,,,,,,,,,,,,,,,,,,
d_atr7,70,250,0,,,,,,,,,,,,,,,,,,,
d_atr7,70,275,0,,,,,,,,,,,,,,,,,,,
d_atr7,70,300,2,175.625,175.625,183.1,190.575,198.05,205.525,245.625,245.625,253.1,260.575,268.05,275.525,61.75,61.75,1.0,0.5,0.5,0.0,0.0
d_atr7,70,325,2,175.625,175.625,183.1,190.575,198.05,205.525,245.625,245.625,253.1,260.575,268.05,275.525,61.75,61.75,1.0,0.5,0.5,0.0,0.0
d_atr7,70,350,2,175.625,175.625,183.1,190.575,198.05,205.525,245.625,245.625,253.1,260.575,268.05,275.525,61.75,61.75,1.0,0.5,0.5,0.0,0.0
d_atr7,70,375,9,598.6388888888889,733.0,740.6,767.55,796.95,825.75,135.47222222222223,84.25,183.45,231.64999999999998,253.85,267.6,486.8611111111111,593.75,1.0,0.8888888888888888,0.8888888888888888,0.7777777777777778,0.7777777777777778
d_atr7,70,400,18,598.2777777777778,672.25,708.0,741.55,803.3000000000001,887.9250000000001,185.98611111111111,85.5,93.5,197.47499999999985,257.15000000000003,459.8500000000004,281.97222222222223,403.375,0.8888888888888888,0.8333333333333334,0.8333333333333334,0.7777777777777778,0.7777777777777778
d_atr7,70,425,21,600.7380952380952,662.75,701.75,742.5,784.25,864.75,186.1547619047619,86.75,100.5,208.25,263.75,385.25,259.0595238095238,401.75,0.9047619047619048,0.8571428571428571,0.8571428571428571,0.8095238095238095,0.8095238095238095
d_atr7,70,450,21,600.7380952380952,662.75,701.75,742.5,784.25,864.75,186.1547619047619,86.75,100.5,208.25,263.75,385.25,259.0595238095238,401.75,0.9047619047619048,0.8571428571428571,0.8571428571428571,0.8095238095238095,0.8095238095238095
d_atr7,70,475,21,600.7380952380952,662.75,701.75,742.5,784.25,864.75,186.1547619047619,86.75,100.5,208.25,263.75,385.25,259.0595238095238,401.75,0.9047619047619048,0.8571428571428571,0.8571428571428571,0.8095238095238095,0.8095238095238095
d_atr7,70,500,21,600.7380952380952,662.75,701.75,742.5,784.25,864.75,186.1547619047619,86.75,100.5,208.25,263.75,385.25,259.0595238095238,401.75,0.9047619047619048,0.8571428571428571,0.8571428571428571,0.8095238095238095,0.8095238095238095
d_atr7,70,525,21,600.7380952380952,662.75,701.75,742.5,784.25,864.75,186.1547619047619,86.75,100.5,208.25,263.75,385.25,259.0595238095238,401.75,0.9047619047619048,0.8571428571428571,0.8571428571428571,0.8095238095238095,0.8095238095238095
d_atr7,70,550,21,600.7380952380952,662.75,701.75,742.5,784.25,864.75,186.1547619047619,86.75,100.5,208.25,263.75,385.25,259.0595238095238,401.75,0.9047619047619048,0.8571428571428571,0.8571428571428571,0.8095238095238095,0.8095238095238095
d_atr7,70,575,21,600.7380952380952,662.75,701.75,742.5,784.25,864.75,186.1547619047619,86.75,100.5,208.25,263.75,385.25,259.0595238095238,401.75,0.9047619047619048,0.8571428571428571,0.8571428571428571,0.8095238095238095,0.8095238095238095
d_atr7,70,600,21,600.7380952380952,662.75,701.75,742.5,784.25,864.75,186.1547619047619,86.75,100.5,208.25,263.75,385.25,259.0595238095238,401.75,0.9047619047619048,0.8571428571428571,0.8571428571428571,0.8095238095238095,0.8095238095238095
d_atr7,70,625,21,600.7380952380952,662.75,701.75,742.5,784.25,864.75,186.1547619047619,86.75,100.5,208.25,263.75,385.25,259.0595238095238,401.75,0.9047619047619048,0.8571428571428571,0.8571428571428571,0.8095238095238095,0.8095238095238095
d_atr7,70,650,21,600.7380952380952,662.75,701.75,742.5,784.25,864.75,186.1547619047619,86.75,100.5,208.25,263.75,385.25,259.0595238095238,401.75,0.9047619047619048,0.8571428571428571,0.8571428571428571,0.8095238095238095,0.8095238095238095
d_atr7,70,675,21,600.7380952380952,662.75,701.75,742.5,784.25,864.75,186.1547619047619,86.75,100.5,208.25,263.75,385.25,259.0595238095238,401.75,0.9047619047619048,0.8571428571428571,0.8571428571428571,0.8095238095238095,0.8095238095238095
d_atr7,70,700,21,600.7380952380952,662.75,701.75,742.5,784.25,864.75,186.1547619047619,86.75,100.5,208.25,263.75,385.25,259.0595238095238,401.75,0.9047619047619048,0.8571428571428571,0.8571428571428571,0.8095238095238095,0.8095238095238095
