time,bear_window_id,hours_from_bear_start,close,high,open,range_pos,hh_8,h1_rsi,h1_ema_20,bear_prob,exhaust_prob,daily_model_rsi,daily_model_adx,rsi70_streak,overbought_stall_condition,near_end_of_avg_ob_streak,rsi70_context_tag_v3,stall_or_reject_tag_v3,signal_v3_A_core,signal,signal_v3_B_tagged,signal_v3_C_or_logic,signal_v3_D_loose_structure,signal_v3_E_first_rally
2022-04-04 20:00:00+00:00,7.0,20.0,15352.25,15367.0,15356.0,0.9787671232876712,15360.0,73.59095035250994,15204.05369540276,0.4666109923926876,0.0557755906235289,62.46339297890856,19.3700209693612,0,0,0,0,0,,signal_v3_B_tagged,1.0,,,
2022-04-07 19:00:00+00:00,7.0,91.0,14732.75,14827.0,14760.0,0.7637931034482759,14801.25,50.41892762559417,14706.55984672382,0.6171012931295861,0.443276247155396,49.93780707880706,17.39609369807947,0,0,0,0,0,,signal_v3_B_tagged,1.0,,,
2024-03-28 14:00:00+00:00,9.0,110.0,18751.0,18783.5,18760.0,0.7839285714285714,18781.25,53.3719836920825,18738.08116174125,0.359225695898742,0.014627209899923,57.7346154265792,19.370836459882305,0,0,0,0,0,,signal_v3_B_tagged,1.0,,,
2024-07-12 15:00:00+00:00,10.0,63.0,20812.75,20888.0,20855.25,0.7969581749049429,20879.5,57.730395518751685,20726.67303814285,0.3289732293127288,0.0138749014630614,61.27082853020463,39.07050495706837,0,0,0,0,0,,signal_v3_B_tagged,1.0,,,
2024-07-15 15:00:00+00:00,10.0,135.0,20920.25,21015.0,20946.75,0.9119233073696824,20957.0,61.37860952814058,20832.60429255618,0.3385373400147463,0.0112561657720753,61.19617639198446,38.33742570043124,0,0,0,0,0,,signal_v3_B_tagged,1.0,,,
2025-02-19 18:00:00+00:00,11.0,66.0,22826.75,22858.5,22839.75,0.659942363112392,22851.0,50.20755696476454,22823.844723019687,0.4035976096342429,0.0205460389752622,59.39294033505003,12.187769858585414,0,0,0,0,0,,signal_v3_B_tagged,1.0,,,
2024-07-10 14:00:00+00:00,10.0,14.0,20948.25,21014.25,20983.0,0.7010785824345146,20996.75,54.45533498102599,20941.21445699773,0.2789618116392102,0.0423023309321362,75.70945562509343,40.97054004955898,5,0,1,1,0,,signal_v3_C_or_logic,,1.0,,
2021-02-18 20:00:00+00:00,4.0,92.0,13677.0,13709.5,13682.75,0.658203125,13688.0,51.36465280491638,13655.168301994356,0.4079262027487332,0.0050210772475776,56.25824680257536,15.164540029039143,0,0,0,0,0,,signal_v3_D_loose_structure,,,1.0,
2022-04-04 16:00:00+00:00,7.0,16.0,15291.0,15324.0,15302.0,0.937123745819398,15314.5,69.89576155210966,15138.221573926108,0.4666109923926876,0.0557755906235289,62.46339297890856,19.3700209693612,0,0,0,0,0,,signal_v3_D_loose_structure,,,1.0,
2022-04-04 20:00:00+00:00,7.0,20.0,15352.25,15367.0,15356.0,0.9787671232876712,15360.0,73.59095035250994,15204.05369540276,0.4666109923926876,0.0557755906235289,62.46339297890856,19.3700209693612,0,0,0,0,0,,signal_v3_D_loose_structure,,,1.0,
2022-04-07 19:00:00+00:00,7.0,91.0,14732.75,14827.0,14760.0,0.7637931034482759,14801.25,50.41892762559417,14706.55984672382,0.6171012931295861,0.443276247155396,49.93780707880706,17.39609369807947,0,0,0,0,0,,signal_v3_D_loose_structure,,,1.0,
2024-03-28 14:00:00+00:00,9.0,110.0,18751.0,18783.5,18760.0,0.7839285714285714,18781.25,53.3719836920825,18738.08116174125,0.359225695898742,0.014627209899923,57.7346154265792,19.370836459882305,0,0,0,0,0,,signal_v3_D_loose_structure,,,1.0,
2024-07-12 15:00:00+00:00,10.0,63.0,20812.75,20888.0,20855.25,0.7969581749049429,20879.5,57.730395518751685,20726.67303814285,0.3289732293127288,0.0138749014630614,61.27082853020463,39.07050495706837,0,0,0,0,0,,signal_v3_D_loose_structure,,,1.0,
2024-07-15 15:00:00+00:00,10.0,135.0,20920.25,21015.0,20946.75,0.9119233073696824,20957.0,61.37860952814058,20832.60429255618,0.3385373400147463,0.0112561657720753,61.19617639198446,38.33742570043124,0,0,0,0,0,,signal_v3_D_loose_structure,,,1.0,
2025-02-19 18:00:00+00:00,11.0,66.0,22826.75,22858.5,22839.75,0.659942363112392,22851.0,50.20755696476454,22823.844723019687,0.4035976096342429,0.0205460389752622,59.39294033505003,12.187769858585414,0,0,0,0,0,,signal_v3_D_loose_structure,,,1.0,
2021-04-30 14:00:00+00:00,5.0,110.0,13800.5,13858.25,13808.5,0.4953416149068323,13825.0,47.49297264659801,13804.149641986352,0.4173174638979151,0.0153480064394524,54.30188718414678,14.077882281376914,0,0,0,0,1,,signal_v3_E_first_rally,,,,1.0
2021-12-31 14:00:00+00:00,6.0,110.0,16722.5,16791.5,16755.5,0.2105263157894736,16765.5,40.75064549395936,16754.624659687364,0.4495212018636503,0.027436146413398,56.42849313764937,17.05548216991898,0,0,0,0,1,,signal_v3_E_first_rally,,,,1.0
