signal,mode,stop_points,time_exit_h,r_mult,entry_time,exit_time,entry_price,exit_price,gross_points,net_dollars,exit_reason,bear_window_id,hours_from_bear_start,rsi70_context_tag_v3,stall_or_reject_tag_v3
signal_v3_A_core,stop_time,200.0,12,,2024-07-12 15:00:00+00:00,2024-07-15 03:00:00+00:00,20810.75,20795.5,15.25,29.0,time_exit_12h,10.0,63.0,0,0
signal_v3_A_core,stop_time,200.0,24,,2024-07-12 15:00:00+00:00,2024-07-15 15:00:00+00:00,20810.75,21012.75,-202.0,-405.5,stop,10.0,63.0,0,0
signal_v3_A_core,stop_time,200.0,48,,2024-07-12 15:00:00+00:00,2024-07-15 15:00:00+00:00,20810.75,21012.75,-202.0,-405.5,stop,10.0,63.0,0,0
signal_v3_A_core,stop_target,200.0,48,1.0,2024-07-12 15:00:00+00:00,2024-07-13 15:00:00+00:00,20810.75,20608.75,202.0,402.5,target_1.0R,10.0,63.0,0,0
signal_v3_A_core,stop_target,200.0,48,1.5,2024-07-12 15:00:00+00:00,2024-07-15 15:00:00+00:00,20810.75,21012.75,-202.0,-405.5,stop,10.0,63.0,0,0
signal_v3_A_core,stop_target,200.0,48,2.0,2024-07-12 15:00:00+00:00,2024-07-15 15:00:00+00:00,20810.75,21012.75,-202.0,-405.5,stop,10.0,63.0,0,0
signal_v3_A_core,stop_time,300.0,6,,2024-07-12 15:00:00+00:00,2024-07-13 15:00:00+00:00,20810.75,20541.75,269.0,536.5,time_exit_6h,10.0,63.0,0,0
signal_v3_A_core,stop_time,300.0,12,,2024-07-12 15:00:00+00:00,2024-07-15 03:00:00+00:00,20810.75,20795.5,15.25,29.0,time_exit_12h,10.0,63.0,0,0
signal_v3_A_core,stop_time,300.0,24,,2024-07-12 15:00:00+00:00,2024-07-15 15:00:00+00:00,20810.75,20922.25,-111.5,-224.5,time_exit_24h,10.0,63.0,0,0
signal_v3_A_core,stop_time,300.0,48,,2024-07-12 15:00:00+00:00,2024-07-16 16:00:00+00:00,20810.75,20763.5,47.25,93.0,time_exit_48h,10.0,63.0,0,0
